created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2019-08-27,4,36.5,42.1666,-0.290108119,-0.268563509,-0.153284578,-0.049180404,0.1071551,BSI to CDS
2019-08-28,4,35.5,42.2502,-0.473737977,-0.454142346,-0.323620929,-0.150406621,0.589226641,CDS to Stock price
2019-08-29,4,35.5,42.64,-0.43302832,-0.448765734,-0.537407036,-0.644261236,-0.734437849,BSI to Stock price
2019-08-30,4,37,42.6957,,,,,,
2019-09-03,4,40.5,43.1969,,,,,,
2019-09-04,4,39.5,43.4753,,,,,,
2019-09-05,4,36.5,43.1783,,,,,,
2019-09-06,4,34.5,43.3268,,,,,,
2019-09-09,4,36.5,43.5496,,,,,,
2019-09-10,4,35,43.3825,,,,,,
2019-09-11,5,33.5,44.1715,,,,,,
2019-09-12,5,36.5,44.2086,,,,,,
2019-09-13,5,36.5,43.9673,,,,,,
2019-09-16,5,36.5,44.1436,,,,,,
2019-09-17,5,36.5,44.6356,,,,,,
2019-09-18,5,36.5,44.6541,,,,,,
2019-09-19,6,36.5,44.6541,,,,,,
2019-09-20,6,40.5,43.9858,,,,,,
2019-09-23,6,41.5,44.3293,,,,,,
2019-09-24,6,42.5,44.9697,,,,,,
2019-09-25,6,42.5,45.3224,,,,,,
2019-09-26,6,41.5,45.2296,,,,,,
2019-09-27,6,42.5,44.9511,,,,,,
2019-09-30,6,42.5,44.7655,,,,,,
2019-10-01,6,42.5,44.4499,,,,,,
2019-10-02,6,44.5,43.9116,,,,,,
2019-10-03,7,47.5,44.3107,,,,,,
2019-10-04,7,42,44.7655,,,,,,
2019-10-07,7,40,44.5799,,,,,,
2019-10-08,7,43.5,44.1993,,,,,,
2019-10-09,7,39,44.3849,,,,,,
2019-10-10,7,42.5,44.4592,,,,,,
2019-10-11,8,38.5,44.4499,,,,,,
2019-10-15,8,38,44.1808,,,,,,
2019-10-16,10,38,44.3664,,,,,,
2019-10-17,9,37.5,44.6541,,,,,,
2019-10-18,9,37.5,44.9047,,,,,,
2019-10-21,8,38.5,45.0161,,,,,,
2019-10-22,8,38.5,44.8862,,,,,,
2019-10-23,6,37.5,44.9326,,,,,,
2019-10-24,7,37,44.8212,,,,,,
2019-10-25,7,37.5,44.5613,,,,,,
2019-10-28,7,36.5,43.8745,,,,,,
2019-10-29,7,36,44.1622,,,,,,
2019-10-30,7,39,44.4035,,,,,,
2019-10-31,7,38.5,44.849,,,,,,
2019-11-01,7,38.5,44.8862,,,,,,
2019-11-04,7,38.5,44.552,,,,,,
2019-11-05,7,37,43.9209,,,,,,
2019-11-06,7,36.5,44.0799,,,,,,
2019-11-07,7,38.5,43.715,,,,,,
2019-11-08,8,37,43.5934,,,,,,
2019-11-12,8,37,43.322,,,,,,
2019-11-13,8,36.5,43.9021,,,,,,
2019-11-14,10,37,43.7337,,,,,,
2019-11-15,10,38.5,44.0144,,,,,,
2019-11-18,10,37,43.7618,,,,,,
2019-11-19,10,37,43.4437,,,,,,
2019-11-20,10,38,43.8554,,,,,,
2019-11-21,10,38,43.6402,,,,,,
2019-11-22,10,37.5,44.2951,,,,,,
2019-11-25,11,37.5,44.6507,,,,,,
2019-11-26,11,34.5,44.6975,,,,,,
2019-11-27,11,35,44.7162,,,,,,
2019-11-29,12,35,44.6226,,,,,,
2019-12-02,12,35,44.4636,,,,,,
2019-12-03,12,36.5,44.6694,,,,,,
2019-12-04,10,36.5,45.0905,,,,,,
2019-12-05,10,36.5,45.2963,,,,,,
2019-12-06,10,36.5,45.2682,,,,,,
2019-12-09,12,34,45.025,,,,,,
2019-12-10,13,35,44.9033,,,,,,
2019-12-11,13,34.5,44.9314,,,,,,
2019-12-12,13,33.5,44.7723,,,,,,
2019-12-13,13,34,44.8659,,,,,,
2019-12-16,13,33.5,45.3899,,,,,,
2019-12-17,13,32.5,45.1747,,,,,,
2019-12-18,13,32.5,45.3992,,,,,,
2019-12-19,14,32.5,45.577,,,,,,
2019-12-20,14,32.5,45.6799,,,,,,
2019-12-23,14,31,45.2776,,,,,,
2019-12-24,14,31,45.3618,,,,,,
2019-12-26,14,31.5,45.3899,,,,,,
2019-12-27,14,31.5,45.2776,,,,,,
2019-12-30,14,32.5,45.3712,,,,,,
2019-12-31,14,32.5,45.4741,,,,,,
2020-01-02,14,32.5,44.4729,,,,,,
2020-01-03,14,32,44.4074,,,,,,
2020-01-06,15,33.5,44.4916,,,,,,
2020-01-07,15,31.5,44.4636,,,,,,
2020-01-08,15,31.5,44.5571,,,,,,
2020-01-09,15,31.5,44.791,,,,,,
2020-01-10,15,31.5,44.5758,,,,,,
2020-01-13,15,31.5,44.6975,,,,,,
2020-01-14,15,32,44.9501,,,,,,
2020-01-15,15,32.5,45.3337,,,,,,
2020-01-16,15,31.5,45.6425,,,,,,
2020-01-17,15,32,45.9045,,,,,,
2020-01-21,16,31.5,46.1291,,,,,,
2020-01-22,16,31.5,46.6811,,,,,,
2020-01-23,16,31,47.1115,,,,,,
2020-01-24,16,31.5,47.2238,,,,,,
2020-01-27,16,33.5,47.0273,,,,,,
2020-01-28,16,30,47.4297,,,,,,
2020-01-29,16,32.5,47.6917,,,,,,
2020-01-30,16,32.5,47.701,,,,,,
2020-01-31,15,33.5,47.5232,,,,,,
2020-02-03,15,33.5,48.1876,,,,,,
2020-02-04,15,32.5,48.1782,,,,,,
2020-02-05,15,32.5,48.5712,,,,,,
2020-02-06,15,32.5,48.3167,,,,,,
2020-02-07,15,31.5,48.2978,,,,,,
2020-02-10,15,32.5,48.4204,,,,,,
2020-02-11,15,32.5,48.5901,,,,,,
2020-02-12,15,31.5,48.5335,,,,,,
2020-02-13,15,31.5,49.0049,,,,,,
2020-02-14,15,31.5,49.2406,,,,,,
2020-02-18,15,34.5,49.2783,,,,,,
2020-02-19,14,32.5,49.1651,,,,,,
2020-02-20,15,32,48.8257,,,,,,
2020-02-21,15,33,48.6183,,,,,,
2020-02-24,15,37,47.7321,,,,,,
2020-02-25,15,37.5,46.0917,,,,,,
2020-02-26,15,38,45.5355,,,,,,
2020-02-27,15,39,43.584,,,,,,
2020-02-28,15,43,41.9813,,,,,,
2020-03-02,15,44,44.6116,,,,,,
2020-03-03,16,43,43.2917,,,,,,
2020-03-04,16,39,45.7241,,,,,,
2020-03-05,17,45,44.4325,,,,,,
2020-03-06,17,49,43.8197,,,,,,
2020-03-09,17,50,40.4729,,,,,,
2020-03-10,17,43,42.3772,,,,,,
2020-03-11,17,45,40.6614,,,,,,
2020-03-12,17,51,36.3153,,,,,,
2020-03-13,17,44,38.8796,,,,,,
2020-03-16,16,52,32.3368,,,,,,
2020-03-17,17,43,37.8143,,,,,,
2020-03-18,17,55,35.0708,,,,,,
2020-03-19,17,46,33.9301,,,,,,
2020-03-20,17,46,32.3179,,,,,,
2020-03-23,17,47,31.2903,,,,,,
2020-03-24,17,35,33.4493,,,,,,
2020-03-25,17,30,33.4681,,,,,,
2020-03-26,17,31,36.4567,,,,,,
2020-03-27,17,37.5,36.3907,,,,,,
2020-03-30,18,40,38.1725,,,,,,
2020-03-31,18,40,37.7766,,,,,,
2020-04-01,18,41,36.6358,,,,,,
2020-04-02,19,41,37.7106,,,,,,
2020-04-03,20,46,35.7779,,,,,,
2020-04-06,20,42.5,38.9927,,,,,,
2020-04-07,20,33.5,38.1537,,,,,,
2020-04-08,20,30.5,40.7557,,,,,,
2020-04-09,20,31,42.1887,,,,,,
2020-04-13,19,32.5,41.4156,,,,,,
2020-04-14,19,27.5,42.8675,,,,,,
2020-04-15,19,29.5,41.4345,,,,,,
2020-04-16,19,29.5,42.2924,,,,,,
2020-04-17,19,28.5,43.5651,,,,,,
2020-04-20,19,27.5,41.9436,,,,,,
2020-04-21,19,27.5,40.7274,,,,,,
2020-04-22,19,28.5,41.689,,,,,,
2020-04-23,19,28,40.5671,,,,,,
2020-04-24,19,23,39.8978,,,,,,
2020-04-27,19,27.5,41.0197,,,,,,
2020-04-28,19,24,40.1995,,,,,,
2020-04-29,19,23,39.926,,,,,,
2020-04-30,19,19,38.9079,,,,,,
2020-05-01,19,23,38.5025,,,,,,
2020-05-04,19,26,38.8324,,,,,,
2020-05-05,19,22,39.2944,,,,,,
2020-05-06,19,22,38.0667,,,,,,
2020-05-07,19,20,38.2666,,,,,,
2020-05-08,19,24.5,38.6378,,,,,,
2020-05-11,19,27,38.4664,,,,,,
2020-05-12,19,24,37.6861,,,,,,
2020-05-13,18,20,37.1627,,,,,,
2020-05-14,18,27,38.0287,,,,,,
2020-05-15,18,27,37.3911,,,,,,
2020-05-18,19,21,39.1231,,,,,,
2020-05-19,20,25,38.4093,,,,,,
2020-05-20,21,21,38.3332,,,,,,
2020-05-21,21,21,38.476,,,,,,
2020-05-22,22,19,38.6758,,,,,,
2020-05-26,22,21,38.7424,,,,,,
2020-05-27,21,17,39.361,,,,,,
2020-05-28,21,20,40.6267,,,,,,
2020-05-29,21,20,40.2175,,,,,,
2020-06-01,21,20,40.6934,,,,,,
2020-06-02,21,19,40.9884,,,,,,
2020-06-03,21,21,41.3881,,,,,,
2020-06-04,21,22.5,40.3127,,,,,,
2020-06-05,21,20,41.1787,,,,,,
2020-06-08,21,14,41.8544,,,,,,
2020-06-09,21,21,40.8171,,,,,,
2020-06-10,21,22,40.208,,,,,,
2020-06-11,21,25,38.5426,,,,,,
2020-06-12,21,23,38.476,,,,,,
2020-06-15,21,22,38.514,,,,,,
2020-06-16,22,21,38.5521,,,,,,
2020-06-17,22,20,38.3047,,,,,,
2020-06-18,22,21,38.5521,,,,,,
2020-06-19,22,22,37.0961,,,,,,
2020-06-22,22,20,37.7812,,,,,,
2020-06-23,22,19,36.9057,,,,,,
2020-06-24,22,22,35.954,,,,,,
2020-06-25,22,23,35.7161,,,,,,
2020-06-26,22,23,35.069,,,,,,
2020-06-29,23,21,36.1539,,,,,,
2020-06-30,24,22,36.9057,,,,,,
2020-07-01,24,21,37.9525,,,,,,
2020-07-02,24,20,37.9906,,,,,,
2020-07-06,24,19,38.238,,,,,,
2020-07-07,24,19,38.3047,,,,,,
2020-07-08,24,20,38.6663,,,,,,
2020-07-09,24,21,38.2476,,,,,,
2020-07-10,24,21,39.2754,,,,,,
2020-07-13,24,19,38.8661,,,,,,
2020-07-14,24,18,38.9423,,,,,,
2020-07-15,24,19,38.8471,,,,,,
2020-07-16,24,19.5,39.2944,,,,,,
2020-07-17,25,18.5,40.1033,,,,,,
2020-07-20,25,18.5,39.2659,,,,,,
2020-07-21,25,30.5,32.5947,,,,,,
2020-07-22,24,60,25.7807,,,,,,
2020-07-23,24,62.5,26.0757,,,,,,
2020-07-24,22,80.5,28.0552,,,,,,
2020-07-27,22,73.5,27.8649,,,,,,
2020-07-28,22,67.5,27.7316,,,,,,
2020-07-29,21,70.5,27.2558,,,,,,
2020-07-30,19,68.5,27.4747,,,,,,
2020-07-31,18,69.5,27.5984,,,,,,
2020-08-03,18,66,27.7792,,,,,,
2020-08-04,19,60,28.2075,,,,,,
2020-08-05,19,60,27.5413,,,,,,
2020-08-06,19,59.5,28.149,,,,,,
2020-08-07,18,56,28.3998,,,,,,
2020-08-10,15,56,28.9979,,,,,,
2020-08-11,15,60,28.8436,,,,,,
2020-08-12,15,54.5,28.8147,,,,,,
2020-08-13,14,55.5,28.5542,,,,,,
2020-08-14,14,57,28.2937,,,,,,
2020-08-17,14,56,27.9175,,,,,,
2020-08-18,14,54.5,27.8596,,,,,,
2020-08-19,14,54,27.6281,,,,,,
2020-08-20,14,53,27.358,,,,,,
2020-08-21,14,54.5,27.1168,,,,,,
2020-08-24,14,53.5,27.3098,,,,,,
2020-08-25,14,55.5,26.9528,,,,,,
2020-08-26,14,53,27.0204,,,,,,
2020-08-27,14,52.5,27.1072,,,,,,
2020-08-28,15,52,27.3098,,,,,,
2020-08-31,15,52,27.5799,,,,,,
2020-09-01,15,51,27.2615,,,,,,
2020-09-02,15,50,28.1104,,,,,,
2020-09-03,14,53.5,28.3516,,,,,,
2020-09-04,14,53.5,28.3613,,,,,,
2020-09-08,13,53,28.1008,,,,,,
2020-09-09,14,50,28.1104,,,,,,
2020-09-10,13,46,28.0236,,,,,,
2020-09-11,13,48,28.2937,,,,,,
2020-09-14,12,45,28.6121,,,,,,
2020-09-15,12,48,28.313,,,,,,
2020-09-16,12,44,28.7085,,,,,,
2020-09-17,12,50,28.7471,,,,,,
2020-09-18,12,51,27.9368,,,,,,
2020-09-21,12,55.5,27.6185,,,,,,
2020-09-22,12,55.5,27.5606,,,,,,
2020-09-23,12,58,26.6056,,,,,,
2020-09-24,11,62.5,27.1651,,,,,,
2020-09-25,11,66,27.5895,,,,,,
2020-09-28,11,68,27.4448,,,,,,
2020-09-29,11,69,27.5895,,,,,,
2020-09-30,11,70,27.6956,,,,,,
2020-10-01,12,70,27.7439,,,,,,
2020-10-02,12,70,28.477,,,,,,
2020-10-05,11,69,28.8532,,,,,,
2020-10-06,11,68,29.3356,,,,,,
2020-10-07,11,68,29.4803,,,,,,
2020-10-08,11,67,30.1748,,,,,,
2020-10-09,11,65,30.117,,,,,,
2020-10-13,11,65,30.2038,,,,,,
2020-10-14,11,66,30.3195,,,,,,
2020-10-15,11,68,30.3967,,,,,,
2020-10-16,11,66.5,30.5704,,,,,,
2020-10-19,11,67,30.6089,,,,,,
2020-10-20,11,67,30.7054,,,,,,
2020-10-21,11,66,31.1877,,,,,,
2020-10-22,11,66,31.863,,,,,,
2020-10-23,11,66.5,32.1235,,,,,,
2020-10-26,11,69,32.1428,,,,,,
2020-10-27,11,67,32.2103,,,,,,
2020-10-28,11,70.5,30.6379,,,,,,
2020-10-29,11,70.5,30.6861,,,,,,
2020-10-30,10,107.5,28.67,,,,,,
2020-11-02,11,105.5,28.8725,,,,,,
2020-11-03,11,102.5,29.0558,,,,,,
2020-11-04,11,98.5,28.0333,,,,,,
2020-11-05,11,96.5,28.7373,,,,,,
2020-11-06,11,92.5,28.4244,,,,,,
2020-11-09,11,84.5,28.8644,,,,,,
2020-11-10,10,92,28.6591,,,,,,
2020-11-11,11,NULL,29.1284,,,,,,
2020-11-12,12,94,28.6786,,,,,,
2020-11-13,11,92.5,28.8546,,,,,,
2020-11-16,11,92,27.8671,,,,,,
2020-11-17,11,93.5,28.1017,,,,,,
2020-11-18,11,91.5,27.9159,,,,,,
2020-11-19,10,94,28.3951,,,,,,
2020-11-20,10,120.5,27.3782,,,,,,
2020-11-23,10,119.5,27.0946,,,,,,
2020-11-24,10,140,26.0679,,,,,,
2020-11-25,10,132.5,25.9701,,,,,,
2020-11-27,10,135,26.1266,,,,,,
