created_date,bsi_score,cds_data,stock_price
8/27/2019,30,185,8.47443
8/28/2019,31,180,8.70661
8/29/2019,31,177,8.8227
8/30/2019,30,172,8.87107
9/3/2019,31,173,8.80335
9/4/2019,31,170.5,8.90009
9/5/2019,31,165,9.03553
9/6/2019,30,172,9.03553
9/9/2019,31,182.5,9.22901
9/10/2019,31,182.5,9.11292
9/11/2019,30,180,9.11292
9/12/2019,30,172,9.10325
9/13/2019,30,172,9.14194
9/16/2019,30,177.5,8.99683
9/17/2019,30,175.5,8.97748
9/18/2019,30,175,8.94846
9/19/2019,30,175,8.80335
9/20/2019,30,200.5,8.87107
9/23/2019,30,208.5,8.86139
9/24/2019,30,212.5,8.81302
9/25/2019,30,218.5,8.90009
9/26/2019,30,213,8.84205
9/27/2019,31,213,8.784
9/30/2019,30,210,8.86139
10/1/2019,31,212.5,8.60987
10/2/2019,31,222,8.32932
10/3/2019,31,235.5,8.42606
10/4/2019,31,225,8.45509
10/7/2019,30,228.5,8.39704
10/8/2019,31,230.5,8.26161
10/9/2019,31,220,8.28096
10/10/2019,31,220,8.339
10/11/2019,31,206,8.49378
10/15/2019,30,207,8.77433
10/16/2019,30,202,8.77433
10/17/2019,31,203.5,8.81302
10/18/2019,30,207,8.98716
10/21/2019,30,208,8.879
10/22/2019,30,205,8.91833
10/23/2019,31,210.5,9.05599
10/24/2019,30,208,8.45619
10/25/2019,31,206,8.57418
10/28/2019,31,193.5,8.46602
10/29/2019,30,187.5,8.49552
10/30/2019,29,195,8.39719
10/31/2019,29,195.5,8.44635
11/1/2019,29,192.5,8.74134
11/4/2019,29,187.5,8.8495
11/5/2019,30,185.5,8.86916
11/6/2019,30,185.5,8.77084
11/7/2019,30,182.5,8.74134
11/8/2019,30,182.5,8.88883
11/12/2019,30,182,8.88883
11/13/2019,30,184.5,8.66268
11/14/2019,30,184.5,8.64301
11/15/2019,30,180,8.80033
11/18/2019,31,183,8.80033
11/19/2019,31,186.5,8.75117
11/20/2019,31,192,8.58401
11/21/2019,31,193,8.56435
11/22/2019,31,190,8.74134
11/25/2019,32,190,8.8495
11/26/2019,32,185,8.85933
11/27/2019,32,183,8.94783
11/29/2019,31,183,8.9085
12/2/2019,31,189,8.85933
12/3/2019,31,188,8.74134
12/4/2019,31,185,8.80033
12/5/2019,31,183,8.78067
12/6/2019,31,178,8.86916
12/9/2019,30,177,8.85933
12/10/2019,30,175,8.91833
12/11/2019,30,170,8.95766
12/12/2019,30,158,9.16415
12/13/2019,31,155,9.07565
12/16/2019,31,149,9.23298
12/17/2019,31,150,9.23298
12/18/2019,31,149,9.38047
12/19/2019,31,147,9.25264
12/20/2019,31,147,9.32147
12/23/2019,31,142,9.28214
12/24/2019,31,146,9.31164
12/26/2019,31,146,9.29197
12/27/2019,31,146,9.20348
12/30/2019,31,146,9.09532
12/31/2019,31,146.5,9.14448
1/2/2020,31,145,9.26248
1/3/2020,30,145,9.05599
1/6/2020,30,150,9.00682
1/7/2020,30,153,9.09532
1/8/2020,31,155,9.09532
1/9/2020,30,153,9.10515
1/10/2020,30,162,9.09532
1/13/2020,30,160,9.08548
1/14/2020,30,163,9.13465
1/15/2020,30,162,9.03632
1/16/2020,30,157,9.01666
1/17/2020,31,157,9.00682
1/21/2020,31,155,9.05599
1/22/2020,31,155,9.00682
1/23/2020,31,160,8.98716
1/24/2020,31,158,8.8495
1/27/2020,31,170,8.74134
1/28/2020,31,162.5,8.82
1/29/2020,31,162,8.86
1/30/2020,31,167,8.84
1/31/2020,31,175,8.82
2/3/2020,31,167,8.98
2/4/2020,30,177.5,9.18
2/5/2020,30,165,8.31
2/6/2020,30,163,8.25
2/7/2020,30,167,8.11
2/10/2020,30,163,8.06
2/11/2020,30,160.5,8.1
2/12/2020,29,155,8.24
2/13/2020,29,157,8.25
2/14/2020,29,160,8.1
2/18/2020,28,160.5,8.06
2/19/2020,29,157,8
2/20/2020,29,155,8.03
2/21/2020,29,160,7.89
2/24/2020,28,182,7.57
2/25/2020,29,187,7.23
2/26/2020,29,197.5,7.21
2/27/2020,29,212,6.97
2/28/2020,29,235,6.96
3/2/2020,29,230,7.2
3/3/2020,28,248,6.97
3/4/2020,28,215,7.08
3/5/2020,28,270,6.74
3/6/2020,28,320,6.49
3/9/2020,28,425,5.9
3/10/2020,28,320,6.26
3/11/2020,28,400,5.9
3/12/2020,28,490,5.35
3/13/2020,28,455,5.63
3/16/2020,28,525,5.01
3/17/2020,27,560,5.01
3/18/2020,27,665,4.5
3/19/2020,27,900,4.47
3/20/2020,27,1127.94,4.33
3/23/2020,27,1463.82,4.01
3/24/2020,27,1208.68,4.95
3/25/2020,27,1052.79,5.39
3/26/2020,27,1080.77,5.25
3/27/2020,27,871.019,5.19
3/30/2020,27,838.867,5.03
3/31/2020,27,750.291,4.83
4/1/2020,26,839.937,4.4
4/2/2020,26,855.735,4.36
4/3/2020,27,871.059,4.24
