"Series Description","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$ ","SPOT EXCHANGE RATE - EURO AREA ","JAPAN -- SPOT EXCHANGE RATE, YEN/US$ "
"Unit:","Currency:_Per_USD","Currency:_Per_EUR","Currency:_Per_USD"
"Multiplier:","1","1","1"
"Currency:","INR","USD","JPY"
"Unique Identifier: ","H10/H10/RXI_N.B.IN","H10/H10/RXI$US_N.B.EU","H10/H10/RXI_N.B.JA"
"Time Period","RXI_N.B.IN","RXI$US_N.B.EU","RXI_N.B.JA"
2019-01-01,ND,ND,ND
2019-01-02,70.0200,1.1357,109.2200
2019-01-03,70.1200,1.1399,108.0700
2019-01-04,69.6300,1.1410,108.2900
2019-01-07,69.7800,1.1468,108.6200
2019-01-08,70.1100,1.1444,108.5700
2019-01-09,70.4200,1.1524,108.3800
2019-01-10,70.4300,1.1517,108.2900
2019-01-11,70.3800,1.1479,108.3400
2019-01-14,ND,ND,ND
2019-01-15,71.0000,1.1392,108.7200
2019-01-16,70.9700,1.1408,108.8400
2019-01-17,71.0900,1.1386,109.0100
2019-01-18,71.2100,1.1362,109.7900
2019-01-21,ND,ND,ND
2019-01-22,71.2300,1.1359,109.3400
2019-01-23,71.2100,1.1390,109.4400
2019-01-24,71.0200,1.1322,109.7200
2019-01-25,70.9400,1.1407,109.6000
2019-01-28,71.0600,1.1438,109.2000
2019-01-29,71.4000,1.1424,109.3600
2019-01-30,71.2400,1.1418,109.5700
2019-01-31,70.9400,1.1454,108.8400
2019-02-01,71.4100,1.1474,109.5500
2019-02-04,71.6600,1.1438,109.9600
2019-02-05,71.5200,1.1406,109.9900
2019-02-06,71.5500,1.1380,109.7500
2019-02-07,71.3000,1.1357,109.7000
2019-02-08,71.2300,1.1326,109.7600
2019-02-11,71.1500,1.1277,110.4000
2019-02-12,70.5600,1.1316,110.5000
2019-02-13,70.8600,1.1288,110.8600
2019-02-14,71.1800,1.1284,110.6800
2019-02-15,71.3600,1.1268,110.5400
2019-02-18,ND,ND,ND
2019-02-19,71.3100,1.1328,110.6800
2019-02-20,ND,ND,ND
2019-02-21,71.1500,1.1338,110.7200
2019-02-22,71.0700,1.1342,110.7000
2019-02-25,70.8200,1.1345,111.0700
2019-02-26,71.0200,1.1374,110.7600
2019-02-27,71.1500,1.1370,110.9200
2019-02-28,70.8300,1.1379,111.3800
2019-03-01,70.9000,1.1376,111.8900
2019-03-04,70.9100,1.1328,111.6800
2019-03-05,70.5500,1.1300,111.9800
2019-03-06,70.0200,1.1320,111.6600
2019-03-07,70.0900,1.1214,111.6000
2019-03-08,70.0000,1.1243,111.1100
