created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2019-08-27,17,155,7.86252,-0.223542706,-0.202627742,-0.049831495,0.103311055,0.197147745,BSI to CDS
2019-08-28,17,157.5,7.87243,-0.779917648,-0.769229964,-0.711332329,-0.641022087,-0.581842352,CDS to Stock price
2019-08-29,17,150.5,8.04098,0.605201853,0.585259629,0.443999701,0.27367005,0.049664404,BSI to Stock price
2019-08-30,17,150,8.17979,,,,,,
2019-09-03,17,148,8.25911,,,,,,
2019-09-04,17,140.5,8.72511,,,,,,
2019-09-05,16,134,8.73503,,,,,,
2019-09-06,16,133,8.63588,,,,,,
2019-09-09,16,138,8.88375,,,,,,
2019-09-10,16,130.5,9.06222,,,,,,
2019-09-11,16,129,9.28035,,,,,,
2019-09-12,15,114.5,9.1812,,,,,,
2019-09-13,16,115.5,9.27053,,,,,,
2019-09-16,16,117.5,9.31023,,,,,,
2019-09-17,16,117,9.29038,,,,,,
2019-09-18,16,115,9.31023,,,,,,
2019-09-19,16,117.5,9.34993,,,,,,
2019-09-20,16,120.5,9.3003,,,,,,
2019-09-23,16,125.5,9.27053,,,,,,
2019-09-24,16,128.5,8.90328,,,,,,
2019-09-25,17,131.5,9.09187,,,,,,
2019-09-26,17,130.5,8.95291,,,,,,
2019-09-27,16,132.5,8.97276,,,,,,
2019-09-30,17,129.5,8.8735,,,,,,
2019-10-01,16,128.5,8.54596,,,,,,
2019-10-02,16,135.5,8.4467,,,,,,
2019-10-03,16,138.5,8.64522,,,,,,
2019-10-04,16,140.5,8.50626,,,,,,
2019-10-07,15,132.5,8.49633,,,,,,
2019-10-08,15,137.5,8.21841,,,,,,
2019-10-09,15,135.5,8.28789,,,,,,
2019-10-10,15,133.5,8.38715,,,,,,
2019-10-11,15,129,8.73455,,,,,,
2019-10-15,15,128.5,8.82388,,,,,,
2019-10-16,15,124,8.8338,,,,,,
2019-10-17,15,123,8.97276,,,,,,
2019-10-18,15,122.5,8.89336,,,,,,
2019-10-21,15,121,8.72462,,,,,,
2019-10-22,15,129,8.99261,,,,,,
2019-10-23,15,127,9.07202,,,,,,
2019-10-24,15,126,8.88343,,,,,,
2019-10-25,15,127,8.93306,,,,,,
2019-10-28,16,124.5,9.00254,,,,,,
2019-10-29,16,130,9.00254,,,,,,
2019-10-30,16,118,10.0348,,,,,,
2019-10-31,16,116.5,9.90577,,,,,,
2019-11-01,16,105,10.3028,,,,,,
2019-11-04,16,97.5,10.8487,,,,,,
2019-11-05,16,98.5,10.8884,,,,,,
2019-11-06,16,96.5,10.938,,,,,,
2019-11-07,17,92.5,11.206,,,,,,
2019-11-08,17,92.5,11.4343,,,,,,
2019-11-12,17,94,11.3351,,,,,,
2019-11-13,17,98,11.206,,,,,,
2019-11-14,17,99.5,11.206,,,,,,
2019-11-15,17,98,11.4343,,,,,,
2019-11-18,17,100,11.3549,,,,,,
2019-11-19,17,98.5,11.4145,,,,,,
2019-11-20,17,102.5,11.3053,,,,,,
2019-11-21,17,102.5,11.4442,,,,,,
2019-11-22,18,100,11.4641,,,,,,
2019-11-25,18,93.5,11.4939,,,,,,
2019-11-26,17,93,11.2656,,,,,,
2019-11-27,17,91.5,11.206,,,,,,
2019-11-29,17,92.5,11.1862,,,,,,
2019-12-02,18,97,11.077,,,,,,
2019-12-03,18,96.5,10.9083,,,,,,
2019-12-04,18,93.5,10.8189,,,,,,
2019-12-05,18,97.5,10.7097,,,,,,
2019-12-06,18,91.5,11.0174,,,,,,
2019-12-09,18,92,10.9083,,,,,,
2019-12-10,19,92,10.9281,,,,,,
2019-12-11,19,91,10.8884,,,,,,
2019-12-12,18,90,11.3549,,,,,,
2019-12-13,19,87,11.2557,,,,,,
2019-12-16,18,87,11.0869,,,,,,
2019-12-17,18,89.5,11.0174,,,,,,
2019-12-18,18,86.5,10.8785,,,,,,
2019-12-19,18,87,10.9579,,,,,,
2019-12-20,18,85,10.9579,,,,,,
2019-12-23,18,85,11.087,,,,,,
2019-12-24,18,85,11.1168,,,,,,
2019-12-26,18,85,11.1566,,,,,,
2019-12-27,18,85,11.1069,,,,,,
2019-12-30,18,85.5,11.0076,,,,,,
2019-12-31,18,86.5,11.087,,,,,,
2020-01-02,18,88,11.852,,,,,,
2020-01-03,18,90.5,11.8917,,,,,,
2020-01-06,18,90.5,12.0606,,,,,,
2020-01-07,18,90.5,11.9712,,,,,,
2020-01-08,17,88.5,11.8619,,,,,,
2020-01-09,17,87.5,11.8321,,,,,,
2020-01-10,17,87.5,11.5937,,,,,,
2020-01-13,18,87.5,12.0408,,,,,,
2020-01-14,18,91.5,11.9513,,,,,,
2020-01-15,18,89.5,11.7924,,,,,,
2020-01-16,18,89.5,11.7626,,,,,,
2020-01-17,18,88.5,11.7328,,,,,,
2020-01-21,17,89.5,11.5838,,,,,,
2020-01-22,17,90.5,11.2957,,,,,,
2020-01-23,17,89.5,11.693,,,,,,
2020-01-24,17,88.5,11.6334,,,,,,
2020-01-27,17,90,11.3652,,,,,,
2020-01-28,17,86.5,11.6533,,,,,,
2020-01-29,17,78,12.8554,,,,,,
2020-01-30,18,76.5,12.6468,,,,,,
2020-01-31,18,77.5,12.3686,,,,,,
2020-02-03,18,76.5,12.1798,,,,,,
2020-02-04,18,74.5,12.4977,,,,,,
2020-02-05,18,72.5,12.7759,,,,,,
2020-02-06,18,72.5,12.8653,,,,,,
2020-02-07,18,71.5,12.7461,,,,,,
