created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2019-08-27,30,118,22.9704,-0.367231332,-0.360603104,-0.292044346,-0.22017585,-0.201743109,BSI to CDS
2019-08-28,33,116,23.1266,-0.503444195,-0.483534123,-0.348341372,-0.130147272,0.139538654,CDS to Stock price
2019-08-29,33,114,23.2736,-0.255391564,-0.257538833,-0.270108662,-0.266733138,-0.238653414,BSI to Stock price
2019-08-30,33,111,23.4482,,,,,,
2019-09-03,33,109,23.9444,,,,,,
2019-09-04,35,101,24.1281,,,,,,
2019-09-05,35,96,24.4314,,,,,,
2019-09-06,37,97,25.0653,,,,,,
2019-09-09,34,91,25.8004,,,,,,
2019-09-10,36,91,26.6089,,,,,,
2019-09-11,36,89,26.903,,,,,,
2019-09-12,36,88,26.6733,,,,,,
2019-09-13,36,89,26.8754,,,,,,
2019-09-16,36,90,27.2154,,,,,,
2019-09-17,33,89,26.0577,,,,,,
2019-09-18,33,92,26.1036,,,,,,
2019-09-19,33,93,25.8647,,,,,,
2019-09-20,33,107,25.8555,,,,,,
2019-09-23,34,108,25.9107,,,,,,
2019-09-24,35,111,25.6626,,,,,,
2019-09-25,36,109,25.8555,,,,,,
2019-09-26,39,108,25.7361,,,,,,
2019-09-27,39,112,25.5799,,,,,,
2019-09-30,39,110,25.6672,,,,,,
2019-10-01,39,106,25.1205,,,,,,
2019-10-02,40,115,24.3946,,,,,,
2019-10-03,40,111,24.3854,,,,,,
2019-10-04,39,110,24.7851,,,,,,
2019-10-07,39,107,24.7529,,,,,,
2019-10-08,39,109,24.5416,,,,,,
2019-10-09,39,104,24.56,,,,,,
2019-10-10,39,105,24.7529,,,,,,
2019-10-11,39,99,24.8816,,,,,,
2019-10-15,39,98,25.2583,,,,,,
2019-10-16,39,98,25.2123,,,,,,
2019-10-17,39,96,25.5156,,,,,,
2019-10-18,39,96,25.3685,,,,,,
2019-10-21,39,94,25.5523,,,,,,
2019-10-22,39,94,26.1863,,,,,,
2019-10-23,39,93,26.2874,,,,,,
2019-10-24,39,94,26.1404,,,,,,
2019-10-25,39,93,26.076,,,,,,
2019-10-28,39,92,26.0669,,,,,,
2019-10-29,39,93,25.8555,,,,,,
2019-10-30,39,96,26.1863,,,,,,
2019-10-31,39,89,29.7054,,,,,,
2019-11-01,39,87,29.9626,,,,,,
2019-11-04,39,83,30.6242,,,,,,
2019-11-05,39,83,30.2383,,,,,,
2019-11-06,39,80,30.4496,,,,,,
2019-11-07,39,81,30.0637,,,,,,
2019-11-08,39,82,30.1831,,,,,,
2019-11-12,39,83,30.3026,,,,,,
2019-11-13,39,83,30.5966,,,,,,
2019-11-14,38,86,28.7924,,,,,,
2019-11-15,37,86,29.1086,,,,,,
2019-11-18,36,85,28.8389,,,,,,
2019-11-19,34,86,29.1086,,,,,,
2019-11-20,34,88,28.9133,,,,,,
2019-11-21,34,88,28.1228,,,,,,
2019-11-22,34,87,28.4018,,,,,,
2019-11-25,34,85,28.8854,,,,,,
2019-11-26,34,84,28.3367,,,,,,
2019-11-27,34,84,28.2437,,,,,,
2019-11-29,34,85,28.3646,,,,,,
2019-12-02,34,86,28.7831,,,,,,
2019-12-03,34,85,28.6436,,,,,,
2019-12-04,34,83,28.8575,,,,,,
2019-12-05,33,84,29.0621,,,,,,
