"","period","ticker.x","name.x","bsi_score","USDxINR","USDxEUR","USDxYEN","Close","Volume"
"1",2019-08-27,"OXY","Occidental Petroleum Corporation",25,71.52,1.1094,105.8,42.349998,7322200
"2",2019-08-28,"OXY","Occidental Petroleum Corporation",25,71.75,1.1084,105.86,43.110001,7084700
"3",2019-08-29,"OXY","Occidental Petroleum Corporation",25,71.67,1.1059,106.5,43.369999,6651300
"4",2019-08-30,"OXY","Occidental Petroleum Corporation",25,71.45,1.0989,106.3,43.48,6881900
"5",2019-09-03,"OXY","Occidental Petroleum Corporation",25,72.2,1.0968,105.88,42.68,6917100
"6",2019-09-04,"OXY","Occidental Petroleum Corporation",23,72.11,1.1025,106.28,43.580002,4837900
"7",2019-09-05,"OXY","Occidental Petroleum Corporation",23,71.84,1.1038,106.96,45.09,9679900
"8",2019-09-06,"OXY","Occidental Petroleum Corporation",23,71.68,1.1042,106.8,45.459999,10958800
"9",2019-09-09,"OXY","Occidental Petroleum Corporation",22,71.66,1.1056,107.14,44.970001,11069800
"10",2019-09-10,"OXY","Occidental Petroleum Corporation",22,71.89,1.1042,107.34,46.43,9770900
"11",2019-09-11,"OXY","Occidental Petroleum Corporation",22,71.62,1.1001,107.73,46.290001,7662900
"12",2019-09-12,"OXY","Occidental Petroleum Corporation",23,70.91,1.1074,107.97,45.400002,7403700
"13",2019-09-13,"OXY","Occidental Petroleum Corporation",24,71,1.1074,108.12,45.09,11149400
"14",2019-09-16,"OXY","Occidental Petroleum Corporation",24,71.53,1.1006,107.94,47.799999,24116000
"15",2019-09-17,"OXY","Occidental Petroleum Corporation",24,71.47,1.1063,108.12,45.150002,15436200
"16",2019-09-18,"OXY","Occidental Petroleum Corporation",24,71.16,1.1061,108.17,44.619999,9732800
"17",2019-09-19,"OXY","Occidental Petroleum Corporation",24,71.31,1.1046,108,45.790001,10491800
"18",2019-09-20,"OXY","Occidental Petroleum Corporation",24,71.05,1.1004,107.95,45.700001,8589600
"19",2019-09-23,"OXY","Occidental Petroleum Corporation",25,70.79,1.0991,107.47,45.5,7298300
"20",2019-09-24,"OXY","Occidental Petroleum Corporation",25,70.94,1.0999,107.32,45.470001,6503800
"21",2019-09-25,"OXY","Occidental Petroleum Corporation",25,71,1.0949,107.78,45.330002,4324500
"22",2019-09-26,"OXY","Occidental Petroleum Corporation",25,70.93,1.0938,107.67,45.349998,4958800
"23",2019-09-27,"OXY","Occidental Petroleum Corporation",25,70.49,1.0942,108.05,45.139999,4515900
"24",2019-09-30,"OXY","Occidental Petroleum Corporation",24,70.64,1.0905,108.11,44.470001,6520300
"25",2019-10-01,"OXY","Occidental Petroleum Corporation",24,71.11,1.0932,107.7,43.77,5229400
"26",2019-10-02,"OXY","Occidental Petroleum Corporation",24,71.17,1.0951,107.21,42.939999,6041000
"27",2019-10-03,"OXY","Occidental Petroleum Corporation",24,71.03,1.0991,106.76,43.200001,5679200
"28",2019-10-04,"OXY","Occidental Petroleum Corporation",26,70.86,1.0974,106.91,43.07,5109400
"29",2019-10-07,"OXY","Occidental Petroleum Corporation",27,70.97,1.0984,107.06,42.18,7449000
"30",2019-10-08,"OXY","Occidental Petroleum Corporation",27,71.21,1.0949,107.06,40.830002,8741900
"31",2019-10-09,"OXY","Occidental Petroleum Corporation",27,71.09,1.0978,107.43,40.84,7057700
"32",2019-10-10,"OXY","Occidental Petroleum Corporation",28,70.98,1.1018,107.91,41.029999,7686300
"33",2019-10-11,"OXY","Occidental Petroleum Corporation",25,70.91,1.1039,108.52,41.119999,7375600
"34",2019-10-15,"OXY","Occidental Petroleum Corporation",25,71.48,1.1036,108.83,40.799999,6216600
"35",2019-10-16,"OXY","Occidental Petroleum Corporation",25,71.37,1.1075,108.71,40.34,5658900
"36",2019-10-17,"OXY","Occidental Petroleum Corporation",25,71.09,1.1129,108.51,40.330002,6484300
"37",2019-10-18,"OXY","Occidental Petroleum Corporation",25,71.07,1.1155,108.44,40.450001,6972400
"38",2019-10-21,"OXY","Occidental Petroleum Corporation",25,70.9,1.1145,108.57,40.82,6592300
"39",2019-10-22,"OXY","Occidental Petroleum Corporation",25,70.81,1.1138,108.56,42.220001,10472400
"40",2019-10-23,"OXY","Occidental Petroleum Corporation",25,70.81,1.1118,108.64,42.919998,7655800
"41",2019-10-24,"OXY","Occidental Petroleum Corporation",25,71.01,1.1098,108.62,42.290001,7127000
"42",2019-10-25,"OXY","Occidental Petroleum Corporation",25,70.78,1.1081,108.75,42.529999,5270700
"43",2019-10-28,"OXY","Occidental Petroleum Corporation",24,70.71,1.1094,109.02,42.279999,4644400
"44",2019-10-29,"OXY","Occidental Petroleum Corporation",24,70.86,1.1117,108.83,42.330002,6373400
"45",2019-10-30,"OXY","Occidental Petroleum Corporation",24,70.96,1.1123,108.88,41.360001,5558500
"46",2019-10-31,"OXY","Occidental Petroleum Corporation",24,71.01,1.1155,108.09,40.5,12515400
"47",2019-11-01,"OXY","Occidental Petroleum Corporation",24,70.76,1.1169,108.16,42.290001,9024800
"48",2019-11-04,"OXY","Occidental Petroleum Corporation",25,70.79,1.1144,108.56,44.23,13452300
"49",2019-11-05,"OXY","Occidental Petroleum Corporation",25,70.81,1.107,109.13,41.91,19344300
"50",2019-11-06,"OXY","Occidental Petroleum Corporation",24,70.96,1.1076,108.86,39.610001,17042700
"51",2019-11-07,"OXY","Occidental Petroleum Corporation",24,71.04,1.1045,109.42,39.029999,15278600
"52",2019-11-08,"OXY","Occidental Petroleum Corporation",25,71.35,1.1019,109.14,40.099998,13610500
"53",2019-11-12,"OXY","Occidental Petroleum Corporation",25,71.75,1.1017,109.09,38.439999,12823100
"54",2019-11-13,"OXY","Occidental Petroleum Corporation",25,72.12,1.1004,108.83,38.119999,9096500
"55",2019-11-14,"OXY","Occidental Petroleum Corporation",24,71.99,1.1016,108.33,37.759998,8786400
