"","ticker","period","name","bsi_score"
"1","GE",2019-08-27,"General Electric Company ",17
"2","GE",2019-08-28,"General Electric Company ",17
"3","GE",2019-08-29,"General Electric Company ",17
"4","GE",2019-08-30,"General Electric Company ",17
"5","GE",2019-09-03,"General Electric Company ",17
"6","GE",2019-09-04,"General Electric Company ",17
"7","GE",2019-09-05,"General Electric Company ",16
"8","GE",2019-09-06,"General Electric Company ",16
"9","GE",2019-09-09,"General Electric Company ",16
"10","GE",2019-09-10,"General Electric Company ",16
"11","GE",2019-09-11,"General Electric Company ",16
"12","GE",2019-09-12,"General Electric Company ",15
"13","GE",2019-09-13,"General Electric Company ",16
"14","GE",2019-09-16,"General Electric Company ",16
"15","GE",2019-09-17,"General Electric Company ",16
"16","GE",2019-09-18,"General Electric Company ",16
"17","GE",2019-09-19,"General Electric Company ",16
"18","GE",2019-09-20,"General Electric Company ",16
"19","GE",2019-09-23,"General Electric Company ",16
"20","GE",2019-09-24,"General Electric Company ",16
"21","GE",2019-09-25,"General Electric Company ",17
"22","GE",2019-09-26,"General Electric Company ",17
"23","GE",2019-09-27,"General Electric Company ",16
"24","GE",2019-09-30,"General Electric Company ",17
"25","GE",2019-10-01,"General Electric Company ",16
"26","GE",2019-10-02,"General Electric Company ",16
"27","GE",2019-10-03,"General Electric Company ",16
"28","GE",2019-10-04,"General Electric Company ",16
"29","GE",2019-10-07,"General Electric Company ",15
"30","GE",2019-10-08,"General Electric Company ",15
"31","GE",2019-10-09,"General Electric Company ",15
"32","GE",2019-10-10,"General Electric Company ",15
"33","GE",2019-10-11,"General Electric Company ",15
"34","GE",2019-10-15,"General Electric Company ",15
"35","GE",2019-10-16,"General Electric Company ",15
"36","GE",2019-10-17,"General Electric Company ",15
"37","GE",2019-10-18,"General Electric Company ",15
"38","GE",2019-10-21,"General Electric Company ",15
"39","GE",2019-10-22,"General Electric Company ",15
"40","GE",2019-10-23,"General Electric Company ",15
"41","GE",2019-10-24,"General Electric Company ",15
"42","GE",2019-10-25,"General Electric Company ",15
"43","GE",2019-10-28,"General Electric Company ",16
"44","GE",2019-10-29,"General Electric Company ",16
"45","GE",2019-10-30,"General Electric Company ",16
"46","GE",2019-10-31,"General Electric Company ",16
"47","GE",2019-11-01,"General Electric Company ",16
"48","GE",2019-11-04,"General Electric Company ",16
"49","GE",2019-11-05,"General Electric Company ",16
"50","GE",2019-11-06,"General Electric Company ",16
"51","GE",2019-11-07,"General Electric Company ",17
"52","GE",2019-11-08,"General Electric Company ",17
"53","GE",2019-11-12,"General Electric Company ",17
"54","GE",2019-11-13,"General Electric Company ",17
"55","GE",2019-11-14,"General Electric Company ",17
"56","GE",2019-11-15,"General Electric Company ",17
"57","GE",2019-11-18,"General Electric Company ",17
"58","GE",2019-11-19,"General Electric Company ",17
"59","GE",2019-11-20,"General Electric Company ",17
"60","GE",2019-11-21,"General Electric Company ",17
"61","GE",2019-11-22,"General Electric Company ",18
"62","GE",2019-11-25,"General Electric Company ",18
"63","GE",2019-11-26,"General Electric Company ",17
"64","GE",2019-11-27,"General Electric Company ",17
"65","GE",2019-11-29,"General Electric Company ",17
"66","GE",2019-12-02,"General Electric Company ",18
"67","GE",2019-12-03,"General Electric Company ",18
"68","GE",2019-12-04,"General Electric Company ",18
"69","GE",2019-12-05,"General Electric Company ",18
"70","GE",2019-12-06,"General Electric Company ",18
"71","GE",2019-12-09,"General Electric Company ",18
"72","GE",2019-12-10,"General Electric Company ",19
"73","GE",2019-12-11,"General Electric Company ",19
"74","GE",2019-12-12,"General Electric Company ",18
"75","GE",2019-12-13,"General Electric Company ",19
"76","GE",2019-12-16,"General Electric Company ",18
"77","GE",2019-12-17,"General Electric Company ",18
"78","GE",2019-12-18,"General Electric Company ",18
"79","GE",2019-12-19,"General Electric Company ",18
"80","GE",2019-12-20,"General Electric Company ",18
"81","GE",2019-12-23,"General Electric Company ",18
"82","GE",2019-12-24,"General Electric Company ",18
"83","GE",2019-12-26,"General Electric Company ",18
"84","GE",2019-12-27,"General Electric Company ",18
"85","GE",2019-12-30,"General Electric Company ",18
"86","GE",2019-12-31,"General Electric Company ",18
"87","GE",2020-01-02,"General Electric Company ",18
"88","GE",2020-01-03,"General Electric Company ",18
"89","GE",2020-01-06,"General Electric Company ",18
"90","GE",2020-01-07,"General Electric Company ",18
"91","GE",2020-01-08,"General Electric Company ",17
"92","GE",2020-01-09,"General Electric Company ",17
"93","GE",2020-01-10,"General Electric Company ",17
"94","GE",2020-01-13,"General Electric Company ",18
"95","GE",2020-01-14,"General Electric Company ",18
"96","GE",2020-01-15,"General Electric Company ",18
"97","GE",2020-01-16,"General Electric Company ",18
"98","GE",2020-01-17,"General Electric Company ",18
"99","GE",2020-01-21,"General Electric Company ",17
"100","GE",2020-01-22,"General Electric Company ",17
"101","GE",2020-01-23,"General Electric Company ",17
"102","GE",2020-01-24,"General Electric Company ",17
"103","GE",2020-01-27,"General Electric Company ",17
"104","GE",2020-01-28,"General Electric Company ",17
"105","GE",2020-01-29,"General Electric Company ",17
"106","GE",2020-01-30,"General Electric Company ",18
"107","GE",2020-01-31,"General Electric Company ",18
"108","GE",2020-02-03,"General Electric Company ",18
"109","GE",2020-02-04,"General Electric Company ",18
"110","GE",2020-02-05,"General Electric Company ",18
"111","GE",2020-02-06,"General Electric Company ",18
"112","GE",2020-02-07,"General Electric Company ",18
"113","GE",2020-02-10,"General Electric Company ",18
"114","GE",2020-02-11,"General Electric Company ",19
"115","GE",2020-02-12,"General Electric Company ",19
"116","GE",2020-02-13,"General Electric Company ",19
"117","GE",2020-02-14,"General Electric Company ",19
"118","GE",2020-02-18,"General Electric Company ",19
"119","GE",2020-02-19,"General Electric Company ",19
"120","GE",2020-02-20,"General Electric Company ",19
"121","GE",2020-02-21,"General Electric Company ",19
"122","GE",2020-02-24,"General Electric Company ",19
"123","GE",2020-02-25,"General Electric Company ",19
